iter	Passed	Remaining
831	16247	3280
832	16267	3261
833	16287	3241
834	16306	3222
835	16326	3202
836	16346	3183
837	16365	3163
838	16385	3144
839	16399	3123
840	16418	3104
841	16437	3084
842	16456	3064
843	16481	3046
844	16495	3025
845	16513	3005
846	16530	2986
847	16550	2966
848	16567	2946
849	16596	2928
850	16612	2908
851	16630	2888
852	16648	2869
853	16667	2849
854	16683	2829
855	16701	2809
856	16713	2788
857	16726	2768
858	16744	2748
859	16756	2727
860	16769	2707
861	16783	2686
862	16800	2667
863	16823	2648
864	16849	2629
865	16873	2610
866	16896	2591
867	16922	2573
868	16944	2554
869	16966	2535
870	16980	2514
871	16995	2494
872	17015	2475
873	17035	2455
874	17059	2437
875	17083	2418
876	17104	2398
877	17126	2379
878	17148	2360
879	17170	2341
880	17189	2321
881	17212	2302
882	17226	2282
883	17244	2262
884	17256	2242
885	17274	2222
886	17291	2202
887	17304	2182
888	17319	2162
889	17332	2142
890	17350	2122
891	17368	2102
892	17384	2083
893	17397	2062
894	17416	2043
895	17434	2023
896	17451	2003
897	17468	1984
898	17487	1964
899	17505	1945
900	17531	1926
901	17549	1906
902	17561	1886
903	17574	1866
904	17589	1846
905	17601	1826
906	17613	1806
907	17635	1786
908	17648	1766
909	17668	1747
910	17693	1728
911	17710	1708
912	17722	1688
913	17743	1669
914	17766	1650
915	17788	1631
916	17804	1611
917	17823	1592
918	17840	1572
919	17860	1553
920	17884	1534
921	17908	1514
922	17922	1495
923	17941	1475
924	17959	1456
925	17972	1436
926	17988	1416
927	18004	1396
928	18018	1377
929	18037	1357
930	18056	1338
931	18081	1319
932	18110	1300
933	18132	1281
934	18148	1261
935	18173	1242
936	18189	1222
937	18201	1203
938	18215	1183
939	18231	1163
940	18249	1144
941	18265	1124
942	18282	1105
943	18304	1085
944	18334	1067
945	18354	1047
946	18371	1028
947	18390	1008
948	18403	989
949	18420	969
950	18437	950
951	18454	930
952	18470	910
953	18481	891
954	18499	871
955	18516	852
956	18536	832
957	18564	813
958	18589	794
959	18606	775
960	18621	755
961	18650	736
962	18665	717
963	18683	697
964	18696	678
965	18712	658
966	18726	639
967	18738	619
968	18755	600
969	18772	580
970	18785	561
971	18803	541
972	18821	522
973	18836	502
974	18853	483
975	18870	464
976	18887	444
977	18904	425
978	18922	405
979	18939	386
980	18957	367
981	18974	347
982	18986	328
983	19004	309
984	19021	289
985	19038	270
986	19056	250
987	19074	231
988	19087	212
989	19099	192
990	19115	173
991	19131	154
992	19144	134
993	19161	115
994	19173	96
995	19203	77
996	19225	57
997	19246	38
998	19265	19
999	19277	0
